sample
BCC1-control
BCC1-tumor
BCC2-tumor
BCC2_3-control
BCC3-tumor
BCC4-tumor
BCC4_5-control
BCC5-tumor
BCC9-control
BCC9-tumor
BCC10-control
BCC10-tumor
BCC11-control
BCC11-tumor
BCC12-control
BCC12-tumor
BCC13-control
BCC13-tumor
BCC14-control
BCC14-tumor
